ID,Name,Rarity,Description,Type,BelongsTo,AddsTraitType,AddsModifierIds,IsActive,LocalizationGlue
,Fat Loot!,Epic,Add the following trait to your Civ card: Capturing a Barbarian Outpost also grants a Tribal Village reward.,Power,Sumeria,,TRAIT_BARBARIAN_CAMP_GOODY,,"LOC_TRAIT_CIVILIZATION_FIRST_CIVILIZATION_DESCRIPTION,1"
,Levy-tatin',Rare,Add the following trait to your Civ card: Levying city-state units costs 50% less Gold.,Power,Sumeria,,TRAIT_LEVY_DISCOUNT,,"LOC_TRAIT_CIVILIZATION_FIRST_CIVILIZATION_DESCRIPTION,2"
,Who Needs Diplomacy?,Rare,Add the following trait to your Civ card: All Diplomatic policy slots in the current government are converted to Wildcard slots.,Power,America,,TRAIT_ALL_DIPLO_POLICY_ARE_WILDCARDS,,"LOC_TRAIT_CIVILIZATION_FOUNDING_FATHERS_EXPANSION2_DESCRIPTION,1"
,Do Yourself A Favor,Uncommon,Add the following trait to your Civ card: +1 Diplomatic Favor per turn for each Wildcard slot in the current government.,Power,America,,TRAIT_WILD_CARD_FAVOR,,"LOC_TRAIT_CIVILIZATION_FOUNDING_FATHERS_EXPANSION2_DESCRIPTION,2"
,Mine All Mine,Rare,Add the following trait to your Civ card: Mines gain +1 Culture and trigger a Culture Bomb when built.,Power,Gaul,,GAUL_MINE_CULTURE|GAUL_MINE_CULTURE_BOMB,,
,Age of Empires,Rare,"Add the following trait to your Civ card: Dedications chosen at the beginning of a Golden Age or Heroic Age also grant their Normal Age bonuses towards improving Era Score, in addition to their regular bonuses. ",Power,Georgia,,TRAIT_ALLOW_QUESTS_IN_GOLDEN_AGE,,"LOC_TRAIT_CIVILIZATION_GOLDEN_AGE_QUESTS_EXPANSION2_DESCRIPTION,1"
,Hostile Annexation,Rare,"Add the following trait to your Civ card: Building an Encampment triggers a Culture Bomb, claiming surrounding tiles.",Power,Poland,,TRAIT_CULTURE_BOMB_TRIGGER_ENCAMPMENT,,
,Flexible Leadership,Uncommon,Add the following trait to your Civ card: One Military policy slot in all governments is converted into a Wildcard policy slot.,Power,Poland,,TRAIT_REPLACE_MILITARY_SLOT_WITH_WILDCARD,,"LOC_TRAIT_CIVILIZATION_GOLDEN_LIBERTY_DESCRIPTION,2"
,Siege Workshop,Rare,Add the following trait to your Civ card: +30% Production toward Siege units. ,Power,Ottoman,,TRAIT_SIEGE_PRODUCTION,,"LOC_TRAIT_CIVILIZATION_GREAT_TURKISH_BOMBARD_DESCRIPTION,1"
,Death From Above,Rare,Add the following trait to your Civ card: Siege units gain +5 Combat Strength when attacking defensible districts.,Power,Ottoman,,TRAIT_SIEGE_ABILITY,,"LOC_TRAIT_CIVILIZATION_GREAT_TURKISH_BOMBARD_DESCRIPTION,2"
,No Collateral,Rare,Add the following trait to your Civ card: Conquering a city doesn't cause that city to lose Population.,Power,Ottoman,,TRAIT_CAPTURED_NO_POPULATION_LOSS,,"LOC_TRAIT_CIVILIZATION_GREAT_TURKISH_BOMBARD_DESCRIPTION,3"
,Extending the Buoy-ders,Rare,"Add the following trait to your Civ card: Building a Harbor triggers a Culture Bomb, claiming surrounding tiles.",Power,Dutch,,TRAIT_HARBOR_CULTURE_BOMB,,"LOC_TRAIT_CIVILIZATION_GROTE_RIVIEREN_EXPANSION2_DESCRIPTION,2"
,River Bank,Epic,"Add the following trait to your Civ card: Choose one: Rivers provide a +2 adjacency bonus for Campus, Theater Square, or Industrial Zone districts.",Power,Dutch,,,FALSE,
,Stealing Knowledge,Uncommon,Add the following trait to your Civ card: Conquering a city grants a free Eureka for each Campus district in the conquered city,Power,Macedon,,TRAIT_HELLENISTIC_FUSION_CAMPUS_EUREKA,,
,Blatant Plagiarism,Uncommon,Add the following trait to your Civ card: Conquering a city grants a free Inspiration for each Theater Square district in the conquered city,Power,Macedon,,TRAIT_HELLENISTIC_FUSION_THEATER_INSPIRATION,,
,Free Imperial Cities,Rare,Add the following trait to your Civ card: Each city can build one more specialty District than the Population limit would normally allow.,Power,Germany,,TRAIT_EXTRA_DISTRICT_EACH_CITY,,"LOC_TRAIT_CIVILIZATION_IMPERIAL_FREE_CITIES_DESCRIPTION,0"
,Hydrology,Uncommon,"Add the following trait to your Civ card: Choose one: Coast and Lake tiles provide a +0.5 adjacency bonus for Holy Site, Campus, Industrial Zone, or Theater Square districts.",Power,Indonesia,,,FALSE,
,Beach Party,Uncommon,Add the following trait to your Civ card: Entertainment Complexes built adjacent to a Coast or Lake tile provide +1 Amenity.,Power,Indonesia,,TRAIT_NUSANTARA_COAST_ENTERTAINMENT,,"LOC_TRAIT_CIVILIZATION_INDONESIA_NUSANTARA_DESCRIPTION,2"
,Warehouses,Uncommon,Add the following trait to your Civ card: Harbor buildings grant +10 Strategic Resource stockpiles.,Power,England,,TRAIT_ADJUST_LIGHTHOUSE_STOCKPILE_CAP|TRAIT_ADJUST_SHIPYARD_STOCKPILE_CAP|TRAIT_ADJUST_SEAPORT_STOCKPILE_CAP,,"LOC_TRAIT_CIVILIZATION_INDUSTRIAL_REVOLUTION_DESCRIPTION,6"
,Royal School of Engineering,Uncommon,Add the following trait to your Civ card: +100% Production towards Military Engineers. Military Engineers receive +2 charges.,Power,England,,TRAIT_ADJUST_MILITARY_ENGINEER_PRODUCTION|TRAIT_ADJUST_MILITARY_ENGINEER_BUILDCHARGES,,"LOC_TRAIT_CIVILIZATION_INDUSTRIAL_REVOLUTION_DESCRIPTION,2,3"
,Overclocking,Rare,Add the following trait to your Civ card: Buildings that provide additional yields when powered receive +4 of their respective yields.,Power,England,,TRAIT_POWERED_BUILDINGS_MORE_CULTURE|TRAIT_POWERED_BUILDINGS_MORE_GOLD|TRAIT_POWERED_BUILDINGS_MORE_PRODUCTION|TRAIT_POWERED_BUILDINGS_MORE_SCIENCE|TRAIT_POWERED_BUILDINGS_MORE_FOOD,,"LOC_TRAIT_CIVILIZATION_INDUSTRIAL_REVOLUTION_DESCRIPTION,4"
,Pit Workers,Uncommon,Add the following trait to your Civ card: Iron and Coal Mines accumulate +2 resources per turn,Power,England,,TRAIT_ACCUMULATE_MORE_COAL|TRAIT_ACCUMULATE_MORE_IRON,,"LOC_TRAIT_CIVILIZATION_INDUSTRIAL_REVOLUTION_DESCRIPTION,1"
,Seine Post to Success,Rare,Add the following trait to your Civ card: +15% Production towards districts and wonders built next to a River.,Power,Egypt,,TRAIT_RIVER_FASTER_BUILDTIME_DISTRICT|TRAIT_RIVER_FASTER_BUILDTIME_DISTRICT,,"LOC_TRAIT_CIVILIZATION_ITERU_EXPANSION2_DESCRIPTION,1"
,Flood Insurance,Rare,"Add the following trait to your Civ card: Districts, improvements and units are immune to damage from floods.",Power,Egypt,,TRAIT_AVOID_MODERATE_FLOOD|TRAIT_AVOID_MAJOR_FLOOD|TRAIT_AVOID_THOUSAND_FLOOD,,"LOC_TRAIT_CIVILIZATION_ITERU_EXPANSION2_DESCRIPTION,2"
,Engineered Irrigation,Rare,Add the following trait to your Civ card: Farms receive +2 Food when adjacent to an Aqueduct,Power,Khmer,,TRAIT_FARM_AQUEDUCT_ADJECENCY_FOOD,,
,Sacred Soil,Uncommon,Add the following trait to your Civ card: Farms receive +1 Faith when adjacent to a Holy Site.,Power,Khmer,,TRAIT_FARM_HOLY_SITE_ADJECENCY_FAITH,,
,Water Diviner,Epic,"Add the following trait to your Civ card: Cities with an Aqueduct receive +1 Amenity, and +1 Faith for every Population.",Power,Khmer,,TRAIT_AQUEDUCT_AMENITY|BARAYS_FAITH_POPULATION,,"LOC_TRAIT_CIVILIZATION_KHMER_BARAYS_EXPANSION2_DESCRIPTION,1"
,Sea View,Rare,Add the following trait to your Civ card: +3 Housing in coastal cities.,Power,Australia,,TRAIT_COASTAL_HOUSING,,"LOC_TRAIT_CIVILIZATION_LAND_DOWN_UNDER_DESCRIPTION,1"
,Pasturised,Rare,"Add the following trait to your Civ card: Building a Pasture triggers a Culture Bomb, claiming surrounding tiles.",Power,Australia,,TRAIT_CULTURE_BOMB_TRIGGER_PASTURE,,"LOC_TRAIT_CIVILIZATION_LAND_DOWN_UNDER_DESCRIPTION,2"
,You Beauty!,Rare,"Add the following trait to your Civ card: Choose one: Campus, Commercial Hub, Holy Site, or Theater Square districts gain +1 to their yields in tiles with Charming Appeal, and +3 in tiles with Breathtaking Appeal.",Power,Australia,,,FALSE,
,Prophet Margin,Rare,Add the following trait to your Civ card: Automatically receives the final Great Prophet when the next-to-last one is claimed (unless one has already been earned through other means).,Power,Arabia,,TRAIT_GUARANTEE_ONE_PROPHET,,"LOC_TRAIT_CIVILIZATION_LAST_PROPHET_DESCRIPTION,1"
,Blessed Scripture,Uncommon,Add the following trait to your Civ card: +1 Science per foreign city following your Religion.,Power,Arabia,,TRAIT_SCIENCE_PER_FOREIGN_CITY_FOLLOWING_RELIGION,,"LOC_TRAIT_CIVILIZATION_LAST_PROPHET_DESCRIPTION,2"
,Legend of the Five Suns,Epic,Add the following trait to your Civ card: Can spend Builder charges to complete 20% of a district's Production cost.,Power,Aztec,TRAIT_CIVILIZATION_LEGEND_FIVE_SUNS,,,"LOC_TRAIT_CIVILIZATION_LEGEND_FIVE_SUNS_DESCRIPTION,0"
,Sand Castles,Rare,Add the following trait to your Civ card: City Centers receive +1 Faith and +1 Food for every adjacent Desert and Desert Hills tile.,Power,Mali,,TRAIT_DESERT_CITY_CENTER_FAITH|TRAIT_DESERT_CITY_CENTER_FOOD|TRAIT_DESERT_HILLS_CITY_CENTER_FAITH|TRAIT_DESERT_HILLS_CITY_CENTER_FOOD,,"LOC_TRAIT_CIVILIZATION_MALI_GOLD_DESERT_DESCRIPTION,1"
,Prospector,Rare,Add the following trait to your Civ card: Mines receive -1 Production and +4 Gold.,Power,Mali,,TRAIT_MALI_MINES_PRODUCTION|TRAIT_MALI_MINES_GOLD,,"LOC_TRAIT_CIVILIZATION_MALI_GOLD_DESERT_DESCRIPTION,2"
,Faith in the Economy,Uncommon,Add the following trait to your Civ card: May purchase Commercial Hub buildings with Faith.,Power,Mali,,TRAIT_PURCHASE_COMMERCIAL_HUB_BUILDINGS_FAITH,,"LOC_TRAIT_CIVILIZATION_MALI_GOLD_DESERT_DESCRIPTION,3"
,Wide Net,Rare,"Add the following trait to your Civ card: +1 Food from Fishing Boats. Building a Fishing Boat triggers a Culture Bomb, claiming surrounding tiles.",Power,Maori,,TRAIT_MAORI_FISHING_BOAT_FOOD|TRAIT_MAORI_FISHING_BOAT_CULTURE_BOMB,,"LOC_TRAIT_CIVILIZATION_MAORI_MANA_DESCRIPTION,5"
,Wood Stock,Rare,"Add the following trait to your Civ card: Unimproved Woods and Rainforests grant +1 Production, increasing to +2 Production with Mercantilism and +3 Production with Conservation. ",Power,Maori,,TRAIT_MAORI_PRODUCTION_WOODS|TRAIT_MAORI_PRODUCTION_RAINFOREST|TRAIT_MAORI_PRODUCTION_RAINFOREST_MERCANTILISM|TRAIT_MAORI_PRODUCTION_WOODS_MERCANTILISM|TRAIT_MAORI_PRODUCTION_RAINFOREST_CONSERVATION|TRAIT_MAORI_PRODUCTION_WOODS_CONSERVATION,,"LOC_TRAIT_CIVILIZATION_MAORI_MANA_DESCRIPTION,3,4"
,On The Waves,Epic,Add the following trait to your Civ card: Starts with Sailing and Shipbuilding unlocked and the ability to enter Ocean tiles.,Power,Maori,,TRAIT_MAORI_MANA_OCEAN|TRAIT_MAORI_MANA_SAILING|TRAIT_MAORI_MANA_SHIPBUILDING,,"LOC_TRAIT_CIVILIZATION_MAORI_MANA_DESCRIPTION,1"
,The Chief's Influence,Rare,"Add the following trait to your Civ card: Cities with an established Governor gain +5% Culture, +5% Production, and +10% combat experience towards all units trained in the city",Power,Mapuche,,TRAIT_TOQUI_UNIT_EXPERIENCE_FROM_GOVERNOR|TOQUI_CULTURE_FROM_GOVERNOR|TOQUI_PRODUCTION_FROM_GOVERNOR,,"LOC_TRAIT_CIVILIZATION_MAPUCHE_TOQUI_DESCRIPTION,1"
,Iron Fist,Rare,Add the following trait to your Civ card: All cities within 9 tiles of a city with your Governor gain +4 Loyalty per turn towards your civilization.,Power,Mapuche,,TOQUI_DOMESTIC_LOYALTY,,"LOC_TRAIT_CIVILIZATION_MAPUCHE_TOQUI_DESCRIPTION,3"
,Debauchery,Rare,Add the following trait to your Civ card: Cities gain +1 Amenity for each Luxury Resource adjacent to the City Center.,Power,Maya,,TRAIT_ADD_AMENITY_PER_ADJACENT_LUXURY,,"LOC_TRAIT_CIVILIZATION_MAYAB_DESCRIPTION,2"
,Met the Spectator!,Uncommon,Add the following trait to your Civ card: Starts with the Eureka for Writing. ,Power,Phoenicia,,TRAIT_FREE_TECH_BOOST_WRITING,,"LOC_TRAIT_CIVILIZATION_MEDITERRANEAN_COLONIES_DESCRIPTION,1"
,Coast Hunter,Uncommon,Add the following trait to your Civ card: Coastal cities founded by you and in the same continent as your Capital always have full Loyalty.,Power,Phoenicia,,TRAIT_COASTAL_CITIES_FULL_LOYALTY,,"LOC_TRAIT_CIVILIZATION_MEDITERRANEAN_COLONIES_DESCRIPTION,2"
,Island Hopping,Uncommon,"Add the following trait to your Civ card: Settlers receive +2 Movement and Sight while embarked, and pay no Movement costs to embark or disembark.",Power,Phoenicia,,TRAIT_MEDITERRANEAN_COLONIES_GRANT_SETTLERS_ABILITY,,"LOC_TRAIT_CIVILIZATION_MEDITERRANEAN_COLONIES_DESCRIPTION,3,4"
,Well Connected,Uncommon,"Add the following trait to your Civ card: Sending a Trade Route immediately creates a Trading Post in the destination city, instead of when the Trade Route is completed. Gains an extra level of Diplomatic Visibility with civilizations that have a Trading Post from your Civilization.",Power,Mongolia,,TRAIT_TRADING_POST_DIPLO_VISIBILITY|TRAIT_IMMEDIATE_TRADING_POST,,"LOC_TRAIT_CIVILIZATION_MONGOLIAN_ORTOO_DESCRIPTION,1,2"
,Greedy,Epic,Add the following trait to your Civ card: Founded cities start with five additional tiles.,Power,Russia,,TRAIT_INCREASED_TILES,,"LOC_TRAIT_CIVILIZATION_MOTHER_RUSSIA_DESCRIPTION,1"
,Snow Day,Rare,"Add the following trait to your Civ card: Tundra tiles provide +1 Faith and +1 Production, in addition to their usual yields.",Power,Russia,,TRAIT_INCREASED_TUNDRA_FAITH|TRAIT_INCREASED_TUNDRA_PRODUCTION|TRAIT_INCREASED_TUNDRA_HILLS_FAITH|TRAIT_INCREASED_TUNDRA_HILLS_PRODUCTION,,"LOC_TRAIT_CIVILIZATION_MOTHER_RUSSIA_DESCRIPTION,2"
,Art Beat,Epic,Add the following trait to your Civ card: +50% Great Artist points gained from all sources.,Power,Kongo,,TRAIT_DOUBLE_ARTIST_POINTS,,
,The Apprentice,Rare,Add the following trait to your Civ card: +50% Great Merchant points gained from all sources.,Power,Kongo,,TRAIT_DOUBLE_MERCHANT_POINTS,,
,Please Don't Stop The Music,Epic,Add the following trait to your Civ card: +50% Great Musician points gained from all sources.,Power,Kongo,,TRAIT_DOUBLE_MUSICIAN_POINTS,,
,Stylish Leader,Rare,Add the following trait to your Civ card: The Palace has four extra slots for Great Works.,Power,Kongo,,TRAIT_EXTRA_PALACE_SLOTS,,"LOC_TRAIT_CIVILIZATION_NKISI_DESCRIPTION,3"
,Leader in Industry,Uncommon,Add the following trait to your Civ card: +1 Great Engineer points from Factories,Power,Sweden,,TRAIT_GREAT_ENGINEER_FACTORY_MODIFIER,,
,Leader in Research,Uncommon,Add the following trait to your Civ card: +1 Great Scientist points from Universities.,Power,Sweden,,TRAIT_GREAT_SCIENTIST_UNIVERSITY_MODIFIER,,
,Pearl of the Danube,Rare,Add the following trait to your Civ card: +50% Production for districts and buildings built across a river from a City Center.,Power,Hungary,TRAIT_CIVILIZATION_PEARL_DANUBE,,,"LOC_TRAIT_CIVILIZATION_PEARL_DANUBE_DESCRIPTION,0"
,Plato's Republic,Rare,Add the following trait to your Civ card: Gains an additional Wildcard policy slot in all Governments.,Power,Greece,TRAIT_CIVILIZATION_PLATOS_REPUBLIC,,,"LOC_TRAIT_CIVILIZATION_PLATOS_REPUBLIC_DESCRIPTION,0"
,Merchant Vessels,Rare,"Add the following trait to your Civ card: Traders have +50% range over water, and can embark as soon as they are unlocked.",Power,Portugal,,TRAIT_WATER_TRADE_ROUTE_RANGE|TRAIT_TRADER_EARLY_EMBARK,,"LOC_TRAIT_CIVILIZATION_PORTUGAL_DESCRIPTION,2"
,Shrewd Negotiator,Epic,Add the following trait to your Civ card: +50% increase to all yields from International Trade Routes,Power,Portugal,,TRAIT_INTERNATIONAL_TRADE_GAIN_ALL_YIELDS,,
,Who Needs Neighbours?,Rare,Add the following trait to your Civ card: Domestic Trade Routes provide +2 Gold and +1 Culture.,Power,Persia,,TRAIT_SATRAPIES_INTERNAL_TRADE_CULTURE|TRAIT_SATRAPIES_INTERNAL_TRADE_GOLD,,"LOC_TRAIT_CIVILIZATION_SATRAPIES_DESCRIPTION,2"
,Bow Selector,Rare,Add the following trait to your Civ card: +30% Production toward Ranged units.,Power,Nubia,,TRAIT_ANCIENT_RANGED_UNIT_PRODUCTION|TRAIT_CLASSICAL_RANGED_UNIT_PRODUCTION|TRAIT_MEDIEVAL_RANGED_UNIT_PRODUCTION|TRAIT_RENAISSANCE_RANGED_UNIT_PRODUCTION|TRAIT_INDUSTRIAL_RANGED_UNIT_PRODUCTION|TRAIT_MODERN_RANGED_UNIT_PRODUCTION|TRAIT_ATOMIC_RANGED_UNIT_PRODUCTION|TRAIT_INFORMATION_RANGED_UNIT_PRODUCTION,,"LOC_TRAIT_CIVILIZATION_TA_SETI_DESCRIPTION,1"
,Mine Crafts,Epic,"Add the following trait to your Civ card: +1 Production for Mines over strategic resources, and +2 Gold for Mines over bonus and luxury resources.",Power,Nubia,,TRAIT_STRATEGIC_MINE_PRODUCTION|TRAIT_BONUS_MINE_GOLD|TRAIT_LUXURY_MINE_GOLD,,"LOC_TRAIT_CIVILIZATION_TA_SETI_DESCRIPTION,3,4"
,Armada,Epic,"Add the following trait to your Civ card: May form Fleets and Armadas with Mercantilism, instead of Nationalism and Mobilization.",Power,Spain,,TRAIT_NAVAL_CORPS_EARLY|TRAIT_NAVAL_ARMIES_EARLY,,"LOC_TRAIT_CIVILIZATION_TREASURE_FLEET_EXPANSION2_DESCRIPTION,1"
,Colonies,Rare,Add the following trait to your Civ card: Cities not on your original Capital's continent receive 25% extra Production towards Districts and a Builder when founded.,Power,Spain,,TRAIT_INTERCONTINENTAL_BUILDER|TRAIT_INTERCONTINENTAL_DISTRICT_PRODUCTION,,"LOC_TRAIT_CIVILIZATION_TREASURE_FLEET_EXPANSION2_DESCRIPTION,4"
,Photo Opportunity,Rare,Add the following trait to your Civ card: Double Tourism from Wonders of any Era.,Power,France,,TRAIT_WONDER_DOUBLETOURISM,,"LOC_TRAIT_CIVILIZATION_WONDER_TOURISM_DESCRIPTION,2"
,The Wonder Years,Epic,"Add the following trait to your Civ card: +20% Production towards Medieval, Renaissance and Industrial Era Wonders.",Power,France,,TRAIT_WONDER_MEDIAVALINDUSTRIAL_PRODUCTION,,"LOC_TRAIT_CIVILIZATION_WONDER_TOURISM_DESCRIPTION,1"
,Onslaught,Epic,Add the following trait to your Civ card: Capturing a city will upgrade the conquering unit into a Corps or Army if the necessary civics are unlocked.,Power,Zulu,,TRAIT_ISIBONGO_UPGRADEMILITARYFORMATIONONCITYCONQUEST,,"LOC_TRAIT_CIVILIZATION_ZULU_ISIBONGO_DESCRIPTION,2"
,Together Stronger,Rare,"Add the following trait to your Civ card: Melee, ranged and anti-cavalry units receive +2 Combat Strength for each adjacent military unit.",Power,Gaul,,TRAIT_NEIGHBOR_COMBAT,,"LOC_TRAIT_LEADER_AMBIORIX_DESCRIPTION,2"
,A Culture of Violence,Uncommon,Add the following trait to your Civ card: Receives Culture equal to 20% of the Production cost after training a non-civilian unit.,Power,Gaul,,TRAIT_GRANT_CULTURE_UNIT_TRAINED,,"LOC_TRAIT_LEADER_AMBIORIX_DESCRIPTION,1"
,Drive Out The Aggressors,Rare,"Add the following trait to your Civ card: All units gain +5 Combat Strength when fighting in Rainforest, Marsh, and Woods tiles, and +1 Movement if they start their turn there. Both of these bonuses are doubled in tiles inside your territory.",Power,Vietnam,TRAIT_LEADER_TRIEU,,,"LOC_TRAIT_LEADER_TRIEU_DESCRIPTION,1,3"
,Why Woodn't I?,Rare,"Add the following trait to your Civ card: Can plant Woods with Medieval Faires, instead of Conservation.",Power,Vietnam,,TRAIT_PLANT_MEDIEVAL_WOODS,,"LOC_TRAIT_CIVILIZATION_VIETNAM_DESCRIPTION,3"
,Tagmatic,Rare,Add the following trait to your Civ card: Gain the Tagma unique unit with Divine Right.,Power,Byzantium,TRAIT_LEADER_UNIT_BYZANTINE_TAGMA,,,"LOC_TRAIT_LEADER_BASIL_DESCRIPTION,2"
,Hetairoi Cream,Rare,Add the following trait to your Civ card: Gain the Hetairoi unique unit with Horseback Riding.,Power,Macedon,TRAIT_LEADER_UNIT_HETAIROI,,,"LOC_UNIT_MACEDONIAN_HETAIROI_DESCRIPTION,0"
,Martial Law,Uncommon,Add the following trait to your Civ card: +5 Loyalty per turn in occupied cities with a garrisoned unit.,Power,Persia,,TRAIT_ADDITIONAL_MARTIAL_LAW,,"LOC_TRAIT_LEADER_FALL_BABYLON_EXPANSION2_DESCRIPTION,2"
,Surprise!,Epic,Add the following trait to your Civ card: +2 Movement for all units for the next 10 turns after declaring a Surprise War,Power,Persia,,TRAIT_FALLBABYLON_SURPRISE_MOVEMENT,,"LOC_TRAIT_LEADER_FALL_BABYLON_EXPANSION2_DESCRIPTION,1"
